,Size,Fold,k,Accuracy,Time,Kappa,Recall,F1 Score
0,100.0,2.0,1.0,0.68,0.08200000002034358,0.6383363471971066,0.68,0.6751038961038961
1,100.0,2.0,1.0,0.56,0.0780000000304426,0.5036101083032491,0.56,0.5568369408369409
0,100.0,5.0,1.0,0.7,0.09299999999257125,0.6571428571428571,0.7,0.7164285714285714
1,100.0,5.0,1.0,0.9,0.050999999984924216,0.8863636363636364,0.9,0.9047619047619048
2,100.0,5.0,1.0,0.65,0.09099999999762076,0.6022727272727273,0.65,0.62
3,100.0,5.0,1.0,0.5,0.05199999998239946,0.4117647058823529,0.5,0.49499999999999994
4,100.0,5.0,1.0,0.5,0.05199999998239946,0.445983379501385,0.5,0.5408333333333333
0,100.0,10.0,1.0,0.6,0.05499999997482519,0.5402298850574714,0.6,0.6733333333333333
1,100.0,10.0,1.0,0.8,0.036000000022795575,0.7701149425287356,0.8,0.7666666666666666
2,100.0,10.0,1.0,0.9,0.05599999997230043,0.8823529411764706,0.9,0.9
3,100.0,10.0,1.0,0.8,0.03599999990910874,0.7590361445783133,0.8,0.8333333333333333
4,100.0,10.0,1.0,0.6,0.05699999996977567,0.5348837209302326,0.6,0.64
5,100.0,10.0,1.0,0.8,0.03299999991668301,0.7647058823529411,0.8,0.7933333333333333
6,100.0,10.0,1.0,0.5,0.03400000002784509,0.3975903614457832,0.5,0.4714285714285714
7,100.0,10.0,1.0,0.5,0.06400000006578921,0.40476190476190466,0.5,0.4533333333333333
8,100.0,10.0,1.0,0.4,0.03399999991415825,0.31034482758620685,0.4,0.4666666666666666
9,100.0,10.0,1.0,0.6,0.032000000032894604,0.5555555555555556,0.6,0.55
0,200.0,2.0,2.0,0.63,0.8169999999836364,0.5837083708370837,0.63,0.60143720190779
1,200.0,2.0,2.0,0.56,0.3920000000334767,0.5076647644623475,0.56,0.5315724259400729
0,200.0,5.0,2.0,0.75,0.24499999994986865,0.7173144876325088,0.75,0.7214439033189033
1,200.0,5.0,2.0,0.7,0.3789999999526117,0.6546762589928057,0.7,0.6891353383458647
2,200.0,5.0,2.0,0.625,0.42599999994763493,0.5815899581589957,0.625,0.6261430236430237
3,200.0,5.0,2.0,0.65,0.2660000000105356,0.6002855103497502,0.65,0.6270292207792207
4,200.0,5.0,2.0,0.5,0.2369999999700667,0.44713199723566,0.5,0.4623268398268398
0,200.0,10.0,2.0,0.8,0.15300000006845949,0.7707736389684814,0.8,0.7833333333333333
