,Fold,k,Accuracy,Time,Kappa,Recall,F1 Score
0,2.0,1.0,0.9642857142857142,19179.318762,0.9603021600901331,0.9642857142857142,0.964243312034689
1,2.0,2.0,0.9576428571428571,19368.685955,0.9529155635038344,0.9576428571428571,0.9574044092876324
2,2.0,3.0,0.9640238095238095,19228.9867055,0.9600096959819245,0.9640238095238095,0.9639431277746433
3,2.0,4.0,0.9638571428571429,19149.660449,0.9598237228928691,0.9638571428571429,0.9637503437429886
4,2.0,6.0,0.9626428571428571,19893.2106625,0.9584733818664561,0.9626428571428571,0.9625422885147158
5,2.0,7.0,0.9621428571428572,20095.013823,0.9579178340280103,0.9621428571428572,0.9620664488584052
6,2.0,8.0,0.9615714285714285,19524.2338905,0.9572823286769241,0.9615714285714285,0.9614755575196117
7,2.0,10.0,0.9597619047619048,19231.225047,0.955270551073205,0.9597619047619048,0.9596645145606696
8,2.0,12.0,0.9585952380952381,19344.447408,0.9539732953531821,0.9585952380952381,0.9585027686820138
9,2.0,14.0,0.9572380952380952,19130.4457555,0.9524642439308454,0.9572380952380952,0.9571539326325713
10,2.0,16.0,0.9560714285714286,18968.322567,0.9511669424421898,0.9560714285714286,0.9559887214241475
11,2.0,18.0,0.9548571428571428,18992.631798,0.9498165646304488,0.9548571428571428,0.9547791750164109
12,2.0,20.0,0.9538809523809524,19120.099418499998,0.9487311569453065,0.9538809523809524,0.9538036412438009
13,2.0,23.0,0.9514047619047619,19085.0759435,0.9459778762241051,0.9514047619047619,0.9513211279672422
14,2.0,26.0,0.9497857142857142,19557.3488,0.9441776508211326,0.9497857142857142,0.9497062842991872
15,2.0,30.0,0.9478095238095239,19336.8122735,0.9419799885376083,0.9478095238095239,0.9477246238955161
16,2.0,34.0,0.9460952380952381,19474.797476499996,0.9400734277995241,0.9460952380952381,0.9460210340792006
17,2.0,39.0,0.9431190476190476,19294.912702,0.9367638860673994,0.9431190476190476,0.9430505504373918
18,2.0,44.0,0.9415,19664.666805499997,0.9349631109998242,0.9415,0.9414304739256238
19,2.0,50.0,0.9391428571428571,19597.528709,0.9323415749302217,0.9391428571428571,0.9390762725115547
20,2.0,58.0,0.9365476190476191,19649.925435999998,0.9294549682229611,0.9365476190476191,0.9364954433107125
21,2.0,67.0,0.9332619047619048,19789.306351,0.9258004412007694,0.9332619047619048,0.9332232782859939
22,2.0,77.0,0.9299761904761905,19893.836592499996,0.9221458060536849,0.9299761904761905,0.9299455061682933
23,2.0,89.0,0.9274761904761905,20123.7917145,0.9193643130585867,0.9274761904761905,0.9274538698854793
24,2.0,103.0,0.9235952380952381,20414.384537500002,0.9150469443174742,0.9235952380952381,0.9235718630183606
25,2.0,120.0,0.9199999999999999,20834.574063499997,0.9110466319586903,0.9199999999999999,0.9200117962687848
26,2.0,140.0,0.915547619047619,21265.935229,0.9060933506233876,0.915547619047619,0.9155607485632175
27,2.0,164.0,0.9115,22302.7491735,0.9015889171699016,0.9115,0.911565926595872
28,2.0,192.0,0.9059047619047619,23504.4489315,0.8953624309617287,0.9059047619047619,0.9060220427803927
29,2.0,226.0,0.9004761904761904,24658.717777500002,0.8893198065019926,0.9004761904761904,0.9006529331468687
30,2.0,267.0,0.8934047619047618,26870.464842,0.8814476912375657,0.8934047619047618,0.8936772294856883
